StateCode,Total,Property,Sales,License,Income,Other
AL,9919794,346277,5106102,507479,3869584,90352
AK,1042164,111736,260846,120529,212252,336801
AZ,14676375,943008,8680009,482362,4538472,32524
AR,9452883,1119958,4590072,396891,3231617,114345
CA,155231252,2513157,53365753,8551427,90655530,145385
CO,12795318,0,4897029,702499,7111711,84079
CT,15244947,0,6149782,455454,8276620,363091
DE,3522301,0,539193,1452596,1430520,99992
DC,7404521,2416604,1783982,180380,2464330,559225
FL,37640420,20,30429302,2241468,2272230,2697400
GA,21454446,961780,8408456,663946,11420536,272
HI,6919035,0,4315902,263130,2224299,115704
ID,4209514,0,2121094,372883,1710234,5303
IL,36634690,60814,16251735,2745949,17173986,402206
IN,17587958,10699,10608207,714634,6252533,1885
IA,9558563,1410,4591421,925958,3930190,109584
KS,8058949,663841,4324953,396648,2623779,49728
KY,11778866,577544,5603120,505377,4888920,203905
LA,9309673,62273,5352907,400191,3038035,456267
ME,4130242,35425,2077913,272253,1689129,55522
MD,20894199,748389,8939430,884363,9646537,675480
MA,27283005,5818,8683866,1122219,16764223,706879
MI,27436607,2034013,13239133,1660663,10202060,300738
MN,25189128,849824,10120647,1426235,12248267,544155
MS,7660391,26725,4777794,553510,2263164,39198
MO,12245169,30892,5302264,547326,6352437,12250
MT,2627943,278497,562474,319020,1300011,167941
NE,5117133,123,2362718,185082,2552391,16819
NV,8025046,280055,6347777,651067,0,746147
NH,2641946,406394,982832,329549,788210,134961
NJ,31546720,4638,13173332,1499889,15585479,1283382
NM,5462107,106524,2930004,342527,1523753,559299
NY,81353963,0,24790017,1794987,50690443,4078516
NC,26201576,0,11149110,1869060,13109468,73938
ND,3709105,3910,1496824,204055,454194,1550122
OH,28694883,0,18231167,2223747,8202432,37537
OK,8491187,0,3778399,1039167,3324653,348968
OR,11043311,20587,1532190,1048709,8299887,141938
PA,37394589,43124,19284374,2159170,14388463,1519458
RI,3265727,2544,1665438,120936,1380463,96346
SC,9551052,32670,4620807,499053,4309831,88691
SD,1747550,0,1440041,268227,32684,6598
TN,13386169,0,9704247,1516966,1862601,302355
TX,52132817,0,46370774,3414335,0,2347708
UT,7082961,0,3031819,290426,3707893,52823
VT,3085865,1056323,1031257,117328,828322,52635
VA,21219757,30367,6886378,826306,12990685,486021
WA,22280088,2062065,17636031,1461200,0,1120792
WV,5127970,6957,2566690,128478,1990391,435454
WI,17607733,170537,7721707,1151656,8473461,90372
WY,1913607,338776,820146,157086,0,597599
